년도,지역,구분,상병코드,연인원,59이하,60-64,65-69,70-79,80-89,90이상
2023,부산,외래, H36 ,6995.0,136.0,152.0,326.0,5497,771.0,113.0
2023,부산,외래, M75 ,6706.0,771.0,301.0,673.0,4522,394.0,45.0
2023,부산,외래, C61 ,6406.0,8.0,12.0,34.0,5406,780.0,166.0
2023,부산,외래,K21,6301.0,313.0,186.0,391.0,4594,699.0,118.0
2021,인천,입원(연인원), E11 ,2993.0,157.0,29.0,281.0,1752,563.0,211.0
2021,인천,입원(연인원), N31 ,2443.0,0.0,0.0,0.0,1537,605.0,301.0
2021,인천,입원(연인원), M17 ,2292.0,60.0,106.0,90.0,1754,256.0,26.0
2021,인천,입원(연인원), M48 ,1946.0,22.0,36.0,54.0,1198,583.0,53.0
2021,인천,입원(연인원), M19 ,1587.0,18.0,213.0,169.0,898,289.0,0.0
2021,인천,입원(연인원), J44 ,1424.0,127.0,0.0,133.0,749,14.0,401.0
2021,인천,입원(연인원), N40 ,1317.0,21.0,7.0,8.0,1093,82.0,106.0
2021,인천,입원(연인원), C61 ,1013.0,0.0,0.0,0.0,470,470.0,73.0
2021,인천,입원(연인원), M75 ,903.0,35.0,46.0,200.0,562,60.0,0.0
2021,인천,입원(연인원), I10 ,772.0,5.0,0.0,1.0,120,203.0,443.0
2021,인천,입원(연인원), C67 ,767.0,3.0,0.0,0.0,186,529.0,49.0
2021,인천,입원(연인원), K56 ,602.0,23.0,0.0,0.0,175,172.0,232.0
2021,인천,입원(연인원), J45 ,549.0,0.0,0.0,7.0,455,0.0,87.0
2021,인천,입원(연인원), J21 ,526.0,7.0,0.0,0.0,201,261.0,57.0
2021,인천,입원(연인원), J18 ,518.0,0.0,0.0,0.0,251,214.0,53.0
2021,인천,입원(연인원), G81 ,506.0,0.0,44.0,0.0,304,142.0,16.0
2021,인천,입원(연인원), M96 ,502.0,26.0,0.0,66.0,387,23.0,0.0
2021,인천,입원(연인원), H25 ,448.0,5.0,18.0,30.0,353,38.0,4.0
2021,인천,입원(연인원), K81 ,402.0,0.0,0.0,0.0,7,0.0,395.0
2021,인천,입원(연인원), K59 ,373.0,0.0,0.0,0.0,22,351.0,0.0
2021,인천,외래, N40 ,0.0,160.0,100.0,169.0,1529,170.0,44.0
2021,인천,외래, Z26 ,0.0,478.0,341.0,638.0,4086,848.0,164.0
2021,인천,외래, I10 ,0.0,303.0,226.0,308.0,2547,508.0,143.0
2021,인천,외래, K05 ,0.0,68.0,142.0,281.0,2357,251.0,39.0
2021,인천,외래, E11 ,0.0,46.0,50.0,54.0,1241,347.0,78.0
2021,인천,외래, M48 ,0.0,591.0,679.0,883.0,6153,1630.0,525.0
