상병코드,지역
S82440,광주
S82480,광주
S8290,광주
S833,광주
S8352,광주
S917,광주
S92290,광주
S935,광주
S997,광주
S999,광주
T092,광주
T100,광주
T146,광주
T253,광주
T426,광주
T796,광주
T875,광주
T887,광주
U071,광주
U129,광주
Z098,광주
Z227,광주
Z933,광주
A1650,광주
A819,광주
B171,광주
B258,광주
C023,광주
C069,광주
C07,광주
C111,광주
C151,광주
C183,광주
C218,광주
C380,광주
C409,광주
C449,광주
C479,광주
C491,광주
C549,광주
C578,광주
C609,광주
C659,광주
C670,광주
C672,광주
C700,광주
C709,광주
C717,광주
C770,광주
C838,광주
C844,광주
C851,광주
C959,광주
D210,광주
D211,광주
D212,광주
D302,광주
D361,광주
E078,광주
E1070,광주
E1142,광주
E1470,광주
F012,광주
F023,광주
F190,광주
F409,광주
F430,광주
F518,광주
G233,광주
G412,광주
G907,광주
G934,광주
G951,광주
H6631,광주
H819,광주
I101,광주
I359,광주
I5005,광주
I6358,광주
I7288,광주
I748,광주
J1288,광주
J178,광주
J9611,광주
K121,광주
K229,광주
K265,광주
K299,광주
K4021,광주
K431,광주
K5988,광주
K612,광주
K7423,광주
K7463,광주
K764,광주
K831,광주
K834,광주
K8592,광주
L0210,광주
L989,광주
M0092,광주
M05862,광주
M1381,광주
M1391,광주
M2139,광주
M2587,광주
M356,광주
M4644,광주
M4649,광주
M4699,광주
M4712,광주
M4805,광주
M4857,광주
M4957,광주
M5457,광주
M6286,광주
M6794,광주
M7939,광주
M7969,광주
M7979,광주
M932,광주
M9943,광주
N289,광주
N328,광주
N340,광주
N709,광주
Q444,광주
Q446,광주
R1030,광주
R258,광주
R300,광주
R451,광주
R858,광주
S0220,광주
S22390,광주
S302,광주
S411,광주
S4300,광주
S510,광주
S5280,광주
S5290,광주
S6608,광주
S7318,광주
S889,광주
T2427,광주
T420,광주
T600,광주
T630,광주
T68,광주
T812,광주
T841,광주
T842,광주
U072,광주
U099,광주
U119,광주
U8430,광주
Y793,광주
Y835,광주
Z000,광주
Z018,광주
Z4780,광주
A830,광주
B019,광주
B178,광주
B1809,광주
B1819,광주
B465,광주
B49,광주
C051,광주
C109,광주
C1620,광주
C269,광주
C3400,광주
C451,광주
C495,광주
C560,광주
C570,광주
C632,광주
C720,광주
C774,광주
D103,광주
D123,광주
D171,광주
D1721,광주
D181,광주
D232,광주
D2430,광주
D373,광주
D430,광주
D539,광주
E1168,광주
E1170,광주
E1171,광주
E279,광주
E872,광주
F010,광주
F013,광주
F018,광주
F058,광주
F072,광주
F320,광주
G048,광주
G4011,광주
G418,광주
G448,광주
G501,광주
G518,광주
G529,광주
G576,광주
G724,광주
G730,광주
G943,광주
G992,광주
H0202,광주
H0208,광주
H0248,광주
H1101,광주
H1108,광주
H2580,광주
H26021,광주
H26022,광주
H270,광주
H470,광주
H604,광주
H6531,광주
H65480,광주
H65481,광주
H6620,광주
H690,광주
H711,광주
H818,광주
H830,광주
H831,광주
H903,광주
H904,광주
H9199,광주
I249,광주
I348,광주
I371,광주
I4221,광주
I4280,광주
I455,광주
I5003,광주
I610,광주
I6308,광주
I6320,광주
I651,광주
I729,광주
I770,광주
J152,광주
J302,광주
J310,광주
J322,광주
J323,광주
J341,광주
J342,광주
J4500,광주
J690,광주
J91,광주
J982,광주
K208,광주
K222,광주
K2511,광주
K261,광주
K290,광주
K435,광주
K510,광주
K515,광주
K5733,광주
K605,광주
K7031,광주
K7439,광주
K754,광주
K8031,광주
K8591,광주
L512,광주
L738,광주
L893,광주
L910,광주
M0529,광주
M1007,광주
M1096,광주
M1286,광주
M1394,광주
M1399,광주
M154,광주
M171,광주
M1993,광주
M1994,광주
M2137,광주
M2506,광주
M2509,광주
M4781,광주
M5416,광주
M5449,광주
M6516,광주
M6719,광주
M7107,광주
M7109,광주
M72960,광주
M755,광주
M760,광주
M8198,광주
M8597,광주
M8607,광주
M8645,광주
M8696,광주
M8725,광주
M9497,광주
M960,광주
N1330,광주
N304,광주
N361,광주
Q245,광주
Q668,광주
R090,광주
R1010,광주
R1019,광주
R1039,광주
R170,광주
R201,광주
R21,광주
R311,광주
R508,광주
R91,광주
S0211,광주
S0641,광주
S092,광주
S200,광주
S22020,광주
S22040,광주
S22420,광주
S300,광주
S32060,광주
S3230,광주
S3250,광주
S341,광주
