상병코드,59이하,60-64,65-69,70-79,80-89,90이상
 M51 ,486.0,,567.0,4509,376.0,
 M17 ,,223.0,541.0,4150,219.0,70.0
 I63 ,348.0,32.0,12.0,3409,870.0,88.0
 U07 ,724.0,306.0,356.0,2098,951.0,295.0
 J18 ,104.0,85.0,129.0,2746,889.0,665.0
 M96 ,174.0,17.0,81.0,3784,396.0,
 S46 ,166.0,75.0,142.0,3029,29.0,
 I20 ,29.0,24.0,122.0,2585,232.0,40.0
 G81 ,67.0,48.0,89.0,2466,168.0,64.0
 E11 ,,17.0,13.0,2365,102.0,
 C34 ,56.0,40.0,139.0,1524,487.0,83.0
 M75 ,38.0,54.0,60.0,2172,,
 I50 ,8.0,,18.0,1320,615.0,309.0
 C16 ,51.0,83.0,75.0,1644,266.0,116.0
 I69 ,,4.0,90.0,1660,263.0,
 S32 ,47.0,14.0,83.0,1385,302.0,119.0
 N18 ,53.0,,3.0,1538,145.0,140.0
 S06 ,353.0,104.0,,925,293.0,102.0
 M50 ,121.0,,193.0,1093,112.0,
 N40 ,316.0,465.0,1040.0,22644,3109.0,1023.0
 E11 ,861.0,817.0,1480.0,17080,2258.0,349.0
 U07 ,13578.0,2412.0,1666.0,3772,1150.0,193.0
 L30 ,763.0,472.0,895.0,13841,1864.0,391.0
 M17 ,490.0,598.0,1883.0,11565,1516.0,234.0
 I20 ,214.0,318.0,772.0,11939,1419.0,294.0
 M48 ,329.0,384.0,554.0,11520,1614.0,237.0
 I10 ,615.0,536.0,957.0,10024,1581.0,374.0
 N18 ,716.0,466.0,589.0,8872,1635.0,534.0
 K05 ,607.0,383.0,833.0,8761,914.0,110.0
 Z11 ,5888.0,582.0,899.0,3380,386.0,74.0
 M54 ,541.0,209.0,316.0,6116,875.0,32.0
 K08 ,214.0,159.0,510.0,6187,572.0,125.0
 K02 ,532.0,189.0,537.0,5346,577.0,85.0
 I63 ,175.0,212.0,170.0,5507,789.0,201.0
 K21 ,323.0,208.0,445.0,4932,536.0,89.0
 N31 ,285.0,147.0,284.0,4756,790.0,155.0
 M75 ,380.0,219.0,538.0,4231,277.0,44.0
 R53 ,282.0,131.0,349.0,3879,583.0,107.0
H25,12.0,56.0,184.0,4252,610.0,114.0
 I20 ,14.0,8.0,23.0,579,67.0,5.0
 N40 ,4.0,7.0,23.0,264,39.0,2.0
 M48 ,10.0,9.0,13.0,229,31.0,2.0
 J18 ,5.0,1.0,8.0,194,47.0,26.0
 I50 ,1.0,1.0,2.0,90,60.0,40.0
 M51 ,8.0,5.0,2.0,147,21.0,
 H25 ,,,3.0,112,4.0,
 M17 ,2.0,3.0,7.0,86,11.0,4.0
 M96 ,6.0,3.0,5.0,84,14.0,
 S46 ,7.0,4.0,11.0,66,8.0,
 I63 ,6.0,,,51,25.0,3.0
 C16 ,1.0,,3.0,59,14.0,7.0
 M75 ,8.0,2.0,5.0,63,4.0,
 K40 ,,,,71,7.0,2.0
 S32 ,,,3.0,45,19.0,4.0
 K63 ,,1.0,3.0,53,10.0,
 G81 ,,,5.0,56,5.0,
 C61 ,,,1.0,46,13.0,3.0
 N18 ,2.0,,,45,9.0,6.0
 C34 ,3.0,4.0,4.0,34,13.0,4.0
 M48 ,280.0,350.0,511.0,12557,1449.0,129.0
 M51 ,279.0,38.0,124.0,6732,996.0,
 J18 ,108.0,21.0,343.0,3966,1210.0,534.0
 M96 ,279.0,198.0,330.0,3996,880.0,
 I63 ,430.0,,,2939,1801.0,111.0
 M17 ,140.0,204.0,318.0,3656,509.0,246.0
 G81 ,,,410.0,4167,318.0,
 S46 ,238.0,151.0,336.0,3433,501.0,
 I20 ,43.0,25.0,136.0,3736,393.0,22.0
 M75 ,308.0,90.0,147.0,2435,332.0,
 N18 ,29.0,,,2299,578.0,153.0
 I69 ,49.0,119.0,135.0,2476,267.0,
 S32 ,,,107.0,1959,737.0,128.0
 I50 ,8.0,8.0,32.0,1141,983.0,519.0
 N40 ,29.0,29.0,94.0,1645,427.0,4.0
 M43 ,,,162.0,1687,240.0,
 C34 ,85.0,128.0,229.0,1010,442.0,172.0
 G82 ,478.0,,173.0,1309,,
 M54 ,,,,1716,240.0,
 C16 ,16.0,,74.0,1122,244.0,444.0
 N40 ,323.0,448.0,1020.0,22297,4195.0,1152.0
 E11 ,817.0,751.0,1207.0,16832,2671.0,378.0
 L30 ,920.0,550.0,878.0,16215,2765.0,419.0
 M17 ,463.0,543.0,1582.0,12662,1987.0,213.0
 I20 ,268.0,315.0,710.0,13309,2086.0,389.0
 M48 ,272.0,558.0,647.0,12806,2200.0,280.0
 N18 ,768.0,393.0,217.0,10250,1746.0,554.0
 K05 ,655.0,431.0,784.0,9076,1266.0,195.0
 I10 ,490.0,388.0,694.0,8188,1515.0,368.0
 K08 ,174.0,197.0,527.0,6480,891.0,266.0
 M54 ,294.0,381.0,245.0,6135,1369.0,80.0
 K02 ,485.0,241.0,455.0,5667,839.0,123.0
 N31 ,278.0,161.0,373.0,5471,1093.0,182.0
 F06 ,4.0,59.0,306.0,5900,1011.0,142.0
 H35 ,102.0,86.0,235.0,5497,941.0,195.0
 I63 ,138.0,136.0,175.0,5139,1168.0,245.0
 H36 ,136.0,152.0,326.0,5497,771.0,113.0
 M75 ,771.0,301.0,673.0,4522,394.0,45.0
 C61 ,8.0,12.0,34.0,5406,780.0,166.0
K21,313.0,186.0,391.0,4594,699.0,118.0
 H25 ,4.0,12.0,18.0,208,20.0,2.0
 E11 ,15.0,5.0,18.0,103,33.0,10.0
 M48 ,4.0,2.0,9.0,90,27.0,6.0
 N31 ,0.0,0.0,0.0,59,21.0,13.0
 N40 ,1.0,1.0,3.0,65,4.0,5.0
 K08 ,3.0,2.0,3.0,70,1.0,0.0
 M17 ,2.0,3.0,3.0,48,7.0,1.0
 J44 ,4.0,0.0,6.0,34,2.0,7.0
 M75 ,1.0,3.0,8.0,31,3.0,0.0
 M19 ,1.0,8.0,4.0,25,8.0,0.0
 J21 ,1.0,0.0,0.0,18,19.0,3.0
 I10 ,2.0,0.0,1.0,7,12.0,16.0
 C67 ,1.0,0.0,0.0,13,20.0,2.0
 C61 ,0.0,0.0,0.0,16,11.0,3.0
 M96 ,2.0,0.0,4.0,20,1.0,0.0
 J45 ,0.0,0.0,1.0,19,0.0,3.0
 K56 ,2.0,0.0,0.0,11,6.0,4.0
 K29 ,1.0,1.0,3.0,8,5.0,3.0
 D41 ,0.0,0.0,2.0,12,4.0,1.0
 A09 ,5.0,0.0,0.0,8,5.0,0.0
