주상병코드,입원외래구분,환자수,보험자부담금(선별포함),요양급여비용총액(선별포함),평균보험자부담금,평균요양급여비용총액
B25,외래,1090.0,371392800.0,582912220.0,340727.3394495413,534781.8532110092
B25,입원,352.0,3242802200.0,3898387890.0,9212506.25,11074965.596590908
B26,외래,7166.0,205629060.0,321705710.0,28695.096288026794,44893.34496232207
B26,입원,284.0,255047460.0,296032070.0,898054.4366197183,1042366.4436619718
B27,외래,2132.0,140540310.0,278146440.0,65919.46998123828,130462.68292682926
B27,입원,794.0,1233151450.0,1535407890.0,1553087.4685138538,1933763.0856423173
B30,외래,169549.0,4713213150.0,6472609670.0,27798.531103102938,38175.4517573091
B30,입원,490.0,305761900.0,352985270.0,624003.8775510204,720378.1020408163
B33,외래,8326.0,225182070.0,363878280.0,27045.648570742254,43703.852990631756
B33,입원,39.0,102533110.0,121947420.0,2629054.1025641025,3126856.923076923
B34,외래,188951.0,8261704220.0,13372257470.0,43724.056607268554,70771.0330720663
B34,입원,48188.0,27499832610.0,31772166830.0,570678.0237818544,659337.7361583797
B35,외래,2011468.0,62251716930.0,83640482700.0,30948.400337464976,41581.81124432504
B35,입원,668.0,158907460.0,208847830.0,237885.41916167663,312646.4520958084
B36,외래,85561.0,1851474790.0,2817524690.0,21639.237386192308,32930.011220065215
B36,입원,39.0,60819440.0,74614000.0,1559472.8205128205,1913179.4871794872
B37,외래,712879.0,43338592540.0,63560353470.0,60793.75678060372,89160.0867328116
B37,입원,762.0,5401943560.0,6590496570.0,7089164.776902887,8648945.62992126
B38,외래,12.0,312450.0,720480.0,26037.5,60040.0
B38,입원,1.0,5821320.0,7717060.0,5821320.0,7717060.0
B39,외래,16.0,746690.0,1626780.0,46668.125,101673.75
B40,외래,16.0,609370.0,854670.0,38085.625,53416.875
B42,외래,26.0,3907430.0,10436660.0,150285.76923076922,401410.0
B43,외래,2539.0,151265970.0,246475500.0,59576.98700275699,97075.81725088618
B43,입원,23.0,26307500.0,33840210.0,1143804.347826087,1471313.4782608696
B44,외래,3150.0,531342950.0,1099080870.0,168680.3015873016,348914.5619047619
B44,입원,774.0,10159215710.0,12563653820.0,13125601.69250646,16232110.878552971
B45,외래,301.0,54516310.0,106653860.0,181117.30897009966,354331.76079734217
B45,입원,80.0,1350237950.0,1705333530.0,16877974.375,21316669.125
B46,외래,175.0,11742800.0,24969530.0,67101.71428571429,142683.0285714286
B46,입원,42.0,1034251460.0,1275238090.0,24625034.76190476,30362811.666666668
B47,외래,695.0,39595350.0,88658600.0,56971.72661870503,127566.3309352518
B47,입원,37.0,70424450.0,98938970.0,1903363.5135135136,2674026.2162162163
B48,외래,1773.0,162026640.0,212037600.0,91385.58375634518,119592.55499153976
B48,입원,612.0,9441042170.0,10882269700.0,15426539.493464053,17781486.437908497
