day,veteran_patients,general_patients,total_patients,occupied_beds,bed_utilization_rate,veteran_revenue,general_revenue,total_revenue,doctor_efficiency,specialization_effect
99,90,30,120,160,0.803868415382381,4112422.109402281,2765549.7785447175,6877971.887946999,0.043708333333333335,1.2294
100,78,42,120,158,0.7904830660958196,3558508.8811799446,2895379.290395983,6453888.171575928,0.04372916666666667,1.2297
101,90,30,120,146,0.730071621309043,4753336.156510757,2243845.7834107615,6997181.939921519,0.043750000000000004,1.23
102,80,40,120,151,0.7568004615160092,4019408.6511779306,2934095.962748468,6953504.613926399,0.043770833333333335,1.2303
103,83,37,120,157,0.7880525976566796,3773361.080252737,2789275.6861517737,6562636.7664045105,0.043791666666666666,1.2306
104,87,33,120,150,0.7511222377600725,4393209.552861713,2838366.200570152,7231575.753431865,0.04381250000000001,1.2308999999999999
105,79,30,109,153,0.7668688120527077,4175386.474094298,2216817.8024297957,6392204.276524094,0.04825688073394496,1.2311999999999999
106,70,38,108,160,0.8024042473330691,3590902.8756025187,2765087.7459682594,6355990.621570778,0.048726851851851855,1.2315
107,78,42,120,159,0.7966960100676342,3427703.682092642,3140983.0677784747,6568686.749871116,0.043875000000000004,1.2318
108,78,42,120,156,0.7807722227885088,4292454.195593632,3166164.331840222,7458618.527433854,0.04389583333333334,1.2321
109,78,42,120,165,0.8264902088957642,4462211.762056581,2529527.4479572307,6991739.2100138115,0.04391666666666667,1.2324
110,87,33,120,157,0.7898477306978504,4511448.45491652,2480547.910707023,6991996.365623543,0.043937500000000004,1.2327
111,83,37,120,171,0.8583891030829904,4255584.649970003,3059930.38797426,7315515.037944263,0.043958333333333335,1.2329999999999999
112,81,39,120,155,0.778372090609019,4209753.11766321,2988652.841984078,7198405.959647289,0.04397916666666667,1.2332999999999998
113,90,30,120,168,0.8435562351715846,4353289.410524472,2688291.341319347,7041580.751843818,0.044000000000000004,1.2336
114,78,42,120,149,0.7495956844541298,3170391.1507999166,3241891.46936212,6412282.620162036,0.044020833333333335,1.2339
115,90,30,120,163,0.8163463686882082,4401404.762036012,2599057.3394840374,7000462.101520048,0.044041666666666666,1.2342
116,72,30,102,167,0.8385432596943484,3067708.951519257,2674500.970369663,5742209.92188892,0.05183823529411765,1.2345
117,81,39,120,166,0.8316390933053143,4969630.60741078,3176742.271578251,8146372.878989032,0.04408333333333334,1.2348
118,81,39,120,151,0.7575077815267605,4386286.005700419,2852901.8463164335,7239187.852016852,0.04410416666666667,1.2350999999999999
119,81,39,120,164,0.8239489912873197,4185133.152641214,3443712.462608465,7628845.6152496785,0.044125000000000004,1.2354
120,82,38,120,150,0.7510618142108847,3917839.7633687947,3154699.349885635,7072539.11325443,0.04414583333333334,1.2357
121,78,42,120,168,0.8434802960052831,4428698.764933931,3498914.1274831635,7927612.892417094,0.044166666666666674,1.236
122,79,41,120,147,0.7377672648344292,3247405.50168281,3770702.534168452,7018108.0358512625,0.044187500000000005,1.2363
123,83,37,120,162,0.813998431315991,3682922.045371174,3683942.585966581,7366864.631337754,0.044208333333333336,1.2366
124,84,36,120,167,0.8362883311949346,4402023.877329419,2944478.59899239,7346502.476321809,0.044229166666666674,1.2368999999999999
125,86,34,120,178,0.8941012248237518,4878530.61984664,3153346.762445916,8031877.382292556,0.044250000000000005,1.2371999999999999
126,78,42,120,158,0.7937106539950176,3921732.7157925908,3727648.3502062387,7649381.06599883,0.044270833333333336,1.2375
127,81,28,109,158,0.7920996050710506,3877113.166671295,2013288.6199417226,5890401.786613017,0.048761467889908254,1.2378
128,80,29,109,160,0.8036658983594203,3484015.6401035786,2019541.724881241,5503557.36498482,0.048784403669724766,1.2381
129,90,30,120,157,0.7870204324318198,3823585.6710968525,2341021.6646193736,6164607.335716226,0.04433333333333334,1.2384
130,78,42,120,159,0.7972852566741094,3809935.5332186157,3593925.3385773087,7403860.871795924,0.044354166666666674,1.2387
131,90,30,120,157,0.7865555654722585,4002063.3410662482,3017606.352779967,7019669.693846215,0.044375000000000005,1.2389999999999999
132,84,36,120,159,0.7987937456444999,4283195.599522499,2838424.2013659044,7121619.800888404,0.04439583333333334,1.2392999999999998
133,80,40,120,159,0.7983623364892001,3782630.091546494,2971889.3495433074,6754519.4410898015,0.044416666666666674,1.2396
134,82,38,120,175,0.8751996494291344,3013102.378558865,3371818.0829844284,6384920.461543294,0.044437500000000005,1.2399
135,78,42,120,156,0.7828656202959826,3755138.062261641,2887076.070574812,6642214.132836454,0.044458333333333336,1.2402
136,77,42,119,177,0.8876135221711812,4210236.181361772,3787242.511918037,7997478.693279809,0.04485294117647059,1.2405
137,78,42,120,154,0.7737739866860114,4090856.078878888,2949365.056212306,7040221.135091194,0.044500000000000005,1.2408
138,82,38,120,156,0.7812589596225202,4391493.586963431,3175056.046691756,7566549.633655187,0.044520833333333336,1.2410999999999999
139,90,30,120,149,0.7459468336200051,4777171.023124919,2542344.301912412,7319515.325037331,0.04454166666666667,1.2414
140,85,35,120,147,0.7374443211807349,4642711.483162933,2748227.4017959633,7390938.884958897,0.04456250000000001,1.2417
141,90,30,120,152,0.7647828154728621,3866192.4166363985,2026408.9983542634,5892601.414990662,0.04458333333333334,1.242
142,78,42,120,177,0.8877397090992183,3088047.5309253484,3930009.339745453,7018056.870670801,0.044604166666666674,1.2423
143,83,37,120,154,0.7727540456595525,4315641.487456109,2948860.128082245,7264501.615538355,0.044625000000000005,1.2426
144,84,36,120,161,0.8075150880730939,4047282.8708701804,2863599.6603683326,6910882.531238513,0.044645833333333336,1.2429
145,78,42,120,146,0.7325907288947144,4189872.996668859,3417410.7872109883,7607283.783879847,0.044666666666666674,1.2431999999999999
146,84,36,120,163,0.8173790852680836,3973300.934270068,2655848.239084134,6629149.173354202,0.044687500000000005,1.2435
147,78,42,120,164,0.8204126377857236,3235992.394347242,3705796.2941414164,6941788.6884886585,0.044708333333333336,1.2438
