day,region,veteran_patients,general_patients,total_patients,general_ratio,accessibility_effect,quality_effect,policy_effectiveness
166,부산,80,31,111,0.27927927927927926,0.06495,0.1101975,0.7115499999999998
167,부산,80,31,111,0.27927927927927926,0.06498,0.11022900000000001,0.7116199999999998
168,부산,80,32,112,0.2857142857142857,0.06501,0.1102605,0.7116899999999998
169,부산,80,31,111,0.27927927927927926,0.06504,0.110292,0.7117599999999998
170,부산,80,30,110,0.2727272727272727,0.06507,0.11032349999999999,0.7118299999999997
171,부산,80,32,112,0.2857142857142857,0.06509999999999999,0.110355,0.7118999999999998
172,부산,80,29,109,0.26605504587155965,0.06513,0.11038649999999998,0.7119699999999998
173,부산,80,27,107,0.2523364485981308,0.06516,0.110418,0.7120399999999999
174,부산,80,29,109,0.26605504587155965,0.06519,0.1104495,0.7121099999999999
175,부산,80,27,107,0.2523364485981308,0.06522,0.110481,0.7121799999999999
176,부산,80,27,107,0.2523364485981308,0.06524999999999999,0.1105125,0.7122499999999999
177,부산,80,29,109,0.26605504587155965,0.06528,0.11054399999999999,0.7123199999999998
178,부산,80,27,107,0.2523364485981308,0.06530999999999999,0.1105755,0.7123899999999999
179,부산,80,28,108,0.25925925925925924,0.06534,0.11060699999999998,0.7124599999999999
180,부산,80,24,104,0.23076923076923078,0.06537,0.1106385,0.7125299999999999
181,부산,80,29,109,0.26605504587155965,0.0654,0.11067,0.7125999999999999
182,부산,80,29,109,0.26605504587155965,0.06543,0.1107015,0.7126699999999998
183,부산,80,27,107,0.2523364485981308,0.06545999999999999,0.110733,0.7127399999999998
184,부산,80,30,110,0.2727272727272727,0.06548999999999999,0.11076449999999999,0.7128099999999998
185,부산,80,31,111,0.27927927927927926,0.06552000000000001,0.11079599999999999,0.7128799999999998
186,부산,80,25,105,0.23809523809523808,0.06555,0.11082749999999998,0.7129499999999999
187,부산,80,27,107,0.2523364485981308,0.06558,0.110859,0.7130199999999998
188,부산,80,27,107,0.2523364485981308,0.06560999999999999,0.1108905,0.7130899999999998
