진료년도,주상병코드,성별,입원외래구분,환자수,명세서청구건수,입내원일수,보험자부담금(선별포함),요양급여비용총액(선별포함)
2023,B04,여,입원,7 ,9 ,14 ,3779520 ,4449620 
2023,B05,남,외래,56 ,65 ,65 ,2753830 ,4594020 
2023,B05,남,입원,11 ,14 ,51 ,17482540 ,21251840 
2023,B05,여,외래,61 ,68 ,68 ,2577420 ,4439780 
2023,B05,여,입원,6 ,6 ,16 ,5079150 ,5939670 
2023,B06,남,외래,16 ,22 ,22 ,446890 ,637790 
2023,B06,남,입원,3 ,3 ,14 ,4566860 ,4840640 
2023,B06,여,외래,103 ,138 ,136 ,5407500 ,8347820 
2023,B06,여,입원,1 ,1 ,7 ,1733640 ,1862110 
2023,B07,남,외래,250475 ,785175 ,784834 ,37387839630 ,53412378420 
2023,B07,남,입원,100 ,105 ,371 ,73861330 ,96573040 
2023,B07,여,외래,204863 ,582142 ,581924 ,25913256530 ,36906889850 
2023,B07,여,입원,67 ,72 ,285 ,43771760 ,56576380 
2023,B08,남,외래,308639 ,611665 ,611603 ,8664394970 ,11282242670 
2023,B08,남,입원,13029 ,14701 ,56015 ,10273934350 ,11308109880 
2023,B08,여,외래,293376 ,575560 ,575482 ,8135128180 ,10608771700 
2023,B08,여,입원,11796 ,13288 ,50897 ,9275050170 ,10217191870 
2023,B09,남,외래,10699 ,16724 ,16714 ,280693910 ,487572350 
2023,B09,남,입원,267 ,303 ,598 ,126624510 ,145245220 
2023,B09,여,외래,11045 ,16501 ,16496 ,255851160 ,428234590 
2023,B09,여,입원,234 ,260 ,532 ,114457900 ,131849870 
2023,B15,남,외래,824 ,1528 ,1524 ,53067820 ,104852040 
2023,B15,남,입원,288 ,335 ,2427 ,716153180 ,902975670 
2023,B15,여,외래,716 ,1224 ,1222 ,43887510 ,86371320 
2023,B15,여,입원,181 ,205 ,1571 ,465072170 ,584253210 
2023,B16,남,외래,757 ,1524 ,1521 ,96757660 ,159253980 
2023,B16,남,입원,92 ,114 ,766 ,259785260 ,328078130 
2023,B16,여,외래,667 ,1185 ,1183 ,60093730 ,106064390 
2023,B16,여,입원,47 ,55 ,479 ,138766570 ,175143520 
2023,B17,남,외래,13367 ,24177 ,24100 ,1093572190 ,1924283320 
2023,B17,남,입원,2820 ,3161 ,18440 ,4614403700 ,6072500860 
2023,B17,여,외래,13501 ,24642 ,24550 ,1144845680 ,2021497650 
2023,B17,여,입원,3134 ,3518 ,21449 ,5565932100 ,7290525470 
2023,B18,남,외래,239539 ,945386 ,944279 ,50920448040 ,94650513900 
2023,B18,남,입원,1767 ,2241 ,12766 ,5053839070 ,6192498420 
2023,B18,여,외래,201720 ,743271 ,742409 ,39943213810 ,73363605880 
2023,B18,여,입원,1304 ,1644 ,10782 ,3186842030 ,4024702070 
2023,B19,남,외래,1207 ,2039 ,2033 ,77080240 ,118639670 
2023,B19,남,입원,67 ,78 ,394 ,110477520 ,136846100 
2023,B19,여,외래,1271 ,2123 ,2123 ,75804490 ,119318180 
2023,B19,여,입원,50 ,53 ,256 ,70581830 ,91538220 
2023,B20,남,외래,775 ,3310 ,3303 ,5446128370 ,6051508560 
2023,B20,남,입원,82 ,133 ,2026 ,855809310 ,990983500 
2023,B20,여,외래,80 ,290 ,290 ,503898200 ,559588400 
2023,B20,여,입원,12 ,28 ,551 ,123443840 ,143488870 
2023,B21,남,외래,25 ,127 ,124 ,134029430 ,148162670 
2023,B21,남,입원,4 ,4 ,60 ,40121850 ,45133450 
