년도,지역,구분,상병코드,연인원,59이하,60-64,65-69,70-79,80-89,90이상,진료비,진료과,high_cost,pred_bin,pred_cost
2021,부산,외래,N18,14458.0,709.0,558.0,880.0,10203,1667.0,441.0,3125036.0,내과,1,2,11635774.461026616
2021,부산,외래,N18,14458.0,709.0,558.0,880.0,10203,1667.0,441.0,3125036.0,내과,1,2,11635774.461026616
2021,부산,외래,N18,14458.0,709.0,558.0,880.0,10203,1667.0,441.0,3125036.0,내과,1,2,11635774.461026616
2021,부산,외래,N18,14458.0,709.0,558.0,880.0,10203,1667.0,441.0,3125036.0,내과,1,2,11635774.461026616
2021,부산,외래,N18,14458.0,709.0,558.0,880.0,10203,1667.0,441.0,3125036.0,내과,1,2,11635774.461026616
2021,부산,외래,N18,14458.0,709.0,558.0,880.0,10203,1667.0,441.0,3125036.0,내과,1,2,11635774.461026616
2021,부산,외래,N18,14458.0,709.0,558.0,880.0,10203,1667.0,441.0,3125036.0,내과,1,2,11635774.461026616
2021,부산,외래,N18,14458.0,709.0,558.0,880.0,10203,1667.0,441.0,3125036.0,내과,1,2,11635774.461026616
2021,부산,외래,N18,14458.0,709.0,558.0,880.0,10203,1667.0,441.0,3125036.0,내과,1,2,11635774.461026616
2021,부산,외래,N18,14458.0,709.0,558.0,880.0,10203,1667.0,441.0,3125036.0,내과,1,2,11635774.461026616
2021,부산,외래,N18,14458.0,709.0,558.0,880.0,10203,1667.0,441.0,3125036.0,내과,1,2,11635774.461026616
2021,부산,외래,N18,14458.0,709.0,558.0,880.0,10203,1667.0,441.0,3125036.0,내과,1,2,11635774.461026616
2021,부산,외래,N18,14458.0,709.0,558.0,880.0,10203,1667.0,441.0,3125036.0,내과,1,2,11635774.461026616
2021,부산,외래,N18,14458.0,709.0,558.0,880.0,10203,1667.0,441.0,3125036.0,내과,1,2,11635774.461026616
2021,부산,외래,N18,14458.0,709.0,558.0,880.0,10203,1667.0,441.0,3125036.0,내과,1,2,11635774.461026616
2021,부산,외래,N18,14458.0,709.0,558.0,880.0,10203,1667.0,441.0,3125036.0,내과,1,2,11635774.461026616
2021,부산,외래,N18,14458.0,709.0,558.0,880.0,10203,1667.0,441.0,3125036.0,내과,1,2,11635774.461026616
2021,부산,외래,N18,14458.0,709.0,558.0,880.0,10203,1667.0,441.0,3125036.0,내과,1,2,11635774.461026616
2021,부산,외래,N18,14458.0,709.0,558.0,880.0,10203,1667.0,441.0,3125036.0,내과,1,2,11635774.461026616
2021,부산,외래,N18,14458.0,709.0,558.0,880.0,10203,1667.0,441.0,3125036.0,내과,1,2,11635774.461026616
